sale_date,sale_price,house_square_feet,attic_finished_square_feet,basement_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,hvac_description,exterior,interior,stories,roof_cover,year_built,bedrooms,bathrooms,waterfront_type,view_quality,utility_sewer
2020-01-03,480000,2086,0,0,440,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,1993,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,199900,1160,0,0,264,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1951,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,370000,1440,0,0,480,0,1,Forced Air,Frame Vinyl,Drywall,1,Composition Shingle,1971,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,325000,1176,0,392,0,0,1,Electric Baseboard,Frame Siding,Drywall,2,Composition Shingle,1977,4,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,695000,1898,0,0,264,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1895,3,3,,View Lim,SEWER/SEPTIC INSTALLED
2020-01-02,306500,1056,0,0,336,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1953,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,280000,939,0,0,0,0,1,Forced Air,Frame Siding,Drywall,1,Built Up Rock,1925,1,1,,,SEWER/SEPTIC INSTALLED
2020-01-01,325000,1347,0,0,330,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2001,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,460000,1708,0,0,440,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1991,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,535000,2323,0,0,192,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1964,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,320000,1766,0,0,460,0,1,Warm and Cool Air Zone,Frame Vinyl,Drywall,2,Composition Shingle,1995,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,306000,1396,0,0,0,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1972,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-03,195000,1538,0,0,389,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2009,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,320000,1562,0,0,413,0,1,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1990,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,149950,864,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1910,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,245000,1056,0,0,0,288,1,Floor/Wall Furnace,Frame Siding,Drywall,1,Composition Shingle,1948,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,319950,1588,0,0,400,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2007,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,385000,1725,0,1500,0,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1958,4,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,413000,2082,0,0,484,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1978,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,599000,1876,0,672,0,0,0,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1977,3,3,,View Lim -,SEWER/SEPTIC INSTALLED
2020-01-02,323750,1588,0,0,440,0,2,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1974,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,295000,1192,0,0,0,0,1,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1956,2,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,213888,1762,0,0,540,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1986,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,620000,1205,0,1205,0,504,1,Heat Pump,Masonry Common Brick,Drywall,1,Composition Shingle,1950,3,3,,View Lim,SEWER/SEPTIC INSTALLED
2020-01-03,545000,3072,0,0,720,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2001,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,433000,3104,0,1192,0,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1978,4,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,749999,4027,0,0,546,0,1,Heat Pump,Frame Siding,Drywall,2,Built Up Rock,1978,7,5,,,SEWER/SEPTIC INSTALLED
2020-01-03,335000,1551,0,0,370,0,0,Electric Baseboard,Frame Siding,Drywall,2,Composition Shingle,2015,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-01,235950,912,0,0,0,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1963,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,383500,1852,0,0,440,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2003,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,369000,2004,0,0,476,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1992,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,435000,2511,0,0,807,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2014,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,345000,1782,0,0,576,0,1,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1979,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-06,384900,2642,0,0,484,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,2006,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,490000,1137,0,912,0,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1940,2,1,,View Good,SEWER/SEPTIC INSTALLED
2020-01-02,214213,1411,0,0,400,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1995,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,285000,1387,0,0,345,0,1,Electric Baseboard,Frame Siding,Drywall,2,Composition Shingle,1977,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-06,359950,1368,0,0,392,0,0,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1961,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-06,459000,2194,0,0,396,0,1,Heat Pump,Frame Siding,Drywall,2,Composition Shingle,2020,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,485000,2537,0,0,427,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,2010,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,650000,2853,0,0,816,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1998,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,471849,1983,0,0,441,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,2019,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,520000,1248,472,0,2060,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2018,2,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,520000,5128,0,0,1048,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2021,3,5,,,SEWER/SEPTIC INSTALLED
2020-01-02,327000,1711,0,1023,0,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1936,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,363000,1432,0,880,0,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1905,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,456500,2523,0,0,591,0,1,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1969,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,369950,1908,0,0,494,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,2003,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,380000,3209,0,0,409,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,2005,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,326000,1548,0,0,472,0,0,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,2001,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,435000,1907,0,0,400,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,1980,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-08,615350,1130,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1900,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-06,438500,1884,0,0,0,0,1,Forced Air,Masonry Common Brick,Drywall,1,Concrete Tile,1986,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-07,535000,2526,0,802,394,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2017,6,4,,,SEWER/SEPTIC INSTALLED
2020-01-06,361000,1720,0,0,0,0,1,Forced Air,Frame Siding,Drywall,2,Built Up Rock,1956,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,467750,2797,0,0,722,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,385000,1935,0,0,407,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2006,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-06,314500,1438,0,0,432,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1991,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,410000,1711,0,0,504,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,1,Composition Shingle,1999,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,440000,2795,0,0,650,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2017,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,407000,1694,0,1184,0,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,1926,4,1,,,SEWER/SEPTIC INSTALLED
2020-01-08,775000,2600,324,0,636,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1984,4,2,,,SEWER/SEPTIC INSTALLED
2020-01-07,120000,1028,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,1,Built Up Rock,1951,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-07,170000,1284,0,0,348,0,0,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1972,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,514990,2748,0,0,505,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,405000,1075,0,1075,250,0,0,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1985,5,3,,View Lim -,SEWER/SEPTIC INSTALLED
2020-01-06,299950,1562,0,0,0,528,1,Electric Baseboard,Frame Siding,Drywall,2,Composition Shingle,1937,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,226000,676,0,0,0,0,0,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1930,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-06,348500,1728,0,864,0,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,2013,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,290000,1550,0,0,440,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1962,4,2,,,SEWER/SEPTIC INSTALLED
2020-01-06,165000,1000,0,0,0,0,0,Electric Baseboard,Frame Vinyl,Drywall,1,Composition Shingle,1936,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-01,510000,1380,480,960,0,440,2,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1946,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,317500,1347,0,0,437,0,0,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1968,4,2,,,SEWER/SEPTIC INSTALLED
2020-01-06,515000,3011,0,0,912,0,1,Forced Air,Frame Siding,Drywall,2,Concrete Tile,1998,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,415000,2692,0,0,600,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2015,5,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,531580,2768,0,0,560,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,320000,1200,0,0,364,378,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1911,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-08,384000,2092,0,0,576,0,1,Warm and Cool Air Zone,Frame Vinyl,Drywall,1,Composition Shingle,2007,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-08,439900,2677,0,0,619,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2010,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-06,484995,3122,0,0,465,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-06,839995,3525,0,0,953,0,2,Warm and Cool Air Zone,Frame Stucco,Drywall,2,Composition Shingle,1993,3,3,,View Lim -,SEWER/SEPTIC INSTALLED
2020-01-08,345000,1244,0,0,440,0,0,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1997,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-07,310000,812,420,812,0,252,0,Forced Air,Frame Stucco,Drywall,1,Composition Shingle,1944,4,1,,,SEWER/SEPTIC INSTALLED
2020-01-03,263000,948,564,0,0,0,0,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1914,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-08,394950,1996,0,0,650,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1970,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-08,269000,1728,0,0,0,0,1,Electric Baseboard,Frame Vinyl,Drywall,1,Composition Shingle,1976,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-08,524950,2596,0,0,621,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-06,616950,2429,0,0,451,0,2,Forced Air,Frame Siding,Drywall,1,Composition Shingle,2019,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,365000,2776,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,2,Composition Shingle,2008,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,447000,1536,0,0,286,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,1,Composition Shingle,1952,2,2,,View Lim,SEWER/SEPTIC INSTALLED
2020-01-06,561000,2692,0,0,472,0,1,Heat Pump,Frame Siding,Drywall,2,Composition Shingle,1989,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,675000,2643,0,0,908,512,1,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1998,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-08,432000,2112,0,0,480,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1985,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-07,437500,2103,0,0,399,0,1,Heat Pump,Frame Siding,Drywall,2,Composition Shingle,2019,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-08,529990,3302,0,0,636,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,425000,2178,0,0,483,0,1,Electric Baseboard,Masonry Common Brick,Drywall,1,Composition Shingle,1960,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,425000,864,0,0,0,0,0,Electric Baseboard,Finished Cottage,Drywall,1,Composition Shingle,1960,0,1,,,SEWER/SEPTIC INSTALLED
2020-01-08,250000,1816,0,0,672,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1986,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,395000,2476,0,0,670,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2005,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-08,452800,2986,0,0,462,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,2005,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-08,423000,2158,0,0,714,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1998,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-06,290000,818,320,0,0,320,1,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1946,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-04,351000,2356,0,0,506,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2000,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,394950,1685,0,1270,546,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1955,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,524085,2695,0,0,651,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,299000,1078,0,0,484,0,1,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1988,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,435000,2593,0,0,458,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2001,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,460000,2618,0,0,798,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2013,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,350000,1308,0,0,440,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,1,Composition Shingle,2000,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-06,330990,1070,0,0,260,0,0,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1980,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-07,364900,1676,0,0,380,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-09,263500,1172,0,0,330,0,0,Electric Baseboard,Frame Vinyl,Drywall,1,Composition Shingle,1971,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-08,340000,1252,0,0,528,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1979,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-08,412000,2375,0,0,560,0,1,Heat Pump,Frame Siding,Drywall,2,Composition Shingle,2017,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,430000,2070,0,0,484,0,0,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2020,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,429950,2638,0,696,0,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1920,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-06,326000,1642,0,0,0,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1969,5,2,,,SEWER/SEPTIC INSTALLED
2020-01-06,400000,1604,456,898,0,0,1,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,1948,4,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,345950,1452,0,0,400,0,0,Electric Baseboard,Frame Siding,Drywall,2,Composition Shingle,2019,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-07,425000,1994,0,835,430,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,5,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,375000,1276,0,0,420,0,0,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1996,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-09,230000,1088,0,0,0,0,1,Electric Baseboard,Frame Vinyl,Drywall,2,Composition Shingle,1910,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-03,714800,2853,0,1315,868,0,1,Forced Air,Frame Siding,Drywall,2,Concrete Tile,2002,4,4,,View Lim,SEWER/SEPTIC INSTALLED
2020-01-02,295000,1511,0,420,0,0,2,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1961,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-07,451500,1416,0,666,0,0,1,Forced Air,Frame Stucco,Drywall,1,Concrete Tile,1925,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-03,415000,1958,0,0,0,0,2,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1953,3,2,,View Avg,SEWER/SEPTIC INSTALLED
2020-01-09,709500,3602,0,0,879,0,2,Heat Pump,Frame Siding,Drywall,2,Composition Shingle,2005,4,3,,View Lim -,SEWER/SEPTIC INSTALLED
2020-01-08,330000,2232,0,0,788,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1966,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,395000,1152,0,1152,480,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1955,4,2,,,SEWER/SEPTIC INSTALLED
2020-01-03,400000,1376,0,0,0,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1915,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-07,330000,1272,0,0,400,0,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,2009,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-08,564900,3086,0,0,640,0,1,Heat Pump,Frame Siding,Drywall,2,Composition Shingle,2016,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-10,404855,1983,0,0,631,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,2020,3,2,,,SEWER/SEPTIC INSTALLED
